comentario,resposta_api
"Wow have not heard Charlie Xcx's voice in a decade. Only know her from her hook in Iggy Azalea's ""Fancy"". She looks like a completely different person in this video. Would have never guessed that was the same girl in the hook from Iggy's Fancy video .Never bothered to listen to any of her music throughout all these years. Hell, I've heard Bart Baker's parody of Fancy with a dude impersonating Charlie in the hook more than I heard Charlie sing the actual hook lol So it's fitting how Fancy made me discover Iggy Azalea, Charlie Xcx, and Bart Baker all at the same time. Learned of this track by seeing a pretty female dancing in a video short, and she was dancing to this song. Than I just kept seeing girl after girl dancing to this song in video shorts without me even having to manually search for them. The interesting part of it is that they are all dancing to Billie Eilish's verse, and cut it off where you never hear Charlie whatsoever. I'm guessing Billie Eilish is far more popular than Charlie. This actually is the first time I heard Billie Eilish in a song. Been living under a rock I suppose. I just don't listen to music nearly as much as I did in the past. I really dig this song though. I could so picture this song playing in a cinematic scene of people doing ecstasy, and being extremely sexual with each other. It's a very sexualized type of song, but I'm so digging the vibe of it all. The vibe makes me think of Demi Lovato's 'Cool For The Summer'. I so loved that song when it came out. For some reason I get the vibe that this is the type of song Billie Eilish doesn't typically make. This song keeps sticking in my head along with Billie Eilish's provactive facial expressions. They both look like their under the influence of some drug that enhances sexual libido. The song subject manner makes it seem like their both on ecstasy, and so sexually open for any type of sexual stimulation. I don't know, that's just how I perceived this song and music video. Nonetheless, it's hot and sexy, and seems so hypnotic and addictive. I highly doubt many even blink an eye to the 11 age difference between Charlie and Billie. Charlie is 32 and Billie is 21. As long as one is of legal age, age becomes more and more of a non-factor when it comes to being prejudice towards a big age difference. A romantic/sexual relationship between a 33 year old and a 44 year old would not be very controversial at all. If this came out when Charlie was 21 and Billie was 10, it would disgusting, revolting, and have Charlie imprisoned if she had even the slightest sexual relationship with a 10 year old Charlie Xcx. Age is so controversial when one is underaged with one who is at least 18.","I classify this comment as Positive, and here's why: Despite the commenter's initial surprise and curiosity about Charlie XCX's music, they end up really enjoying the song, calling it ""hot"" and ""sexy"". They also appreciate the vibe of the song, comparing it to Demi Lovato's ""Cool For The Summer"", and praising Billie Eilish's provocative facial expressions. Although they do bring up a controversial topic (the age difference between Charlie XCX and Billie Eilish), their tone is more inquisitive than critical or negative. Overall, the comment expresses a positive sentiment towards the song and music video."
DIE ANTWOORD Beat-tracks Re-hash....  Inspired maybe?  Hmmm.......,"I would classify this comment as Neutral. The commenter is expressing skepticism about whether Die Antwoord's song is original or just inspired by others, but they're not using strong language to express their opinion, and are ending with a questioning tone rather than making a definitive statement."
Daft punk technologic vibes,"I would classify this comment as Positive. The use of the phrase ""technologic vibes"" suggests that the commenter is enthusiastic about the music's futuristic and innovative sound, conveying a positive sentiment."
"Gaga, you wrote „aaaah” in lyrics and not „ohoohooohohohoooooooo” 🥸 I came not prepared","I would classify this comment as Neutral. The commenter is expressing a neutral opinion by pointing out a specific aspect of the music video (the inclusion of ""aaaah"" instead of a longer vocal phrase) without displaying any emotions or sentiment towards the artist or song."
"When Billie arrived, my heart fucking dropped. LIke girl, she made quite the entrance. Also, her verse was the best.","I would classify this comment as Positive.

Justification: The commenter uses strong language to express their enthusiasm (""my heart fucking dropped"") and explicitly states that Billie's verse was the ""best"", indicating a very positive opinion of the music video and the artist's performance."
Good music. Completely lame lyrics and video.,"I would classify this comment as Mixed (not strictly one category), but leaning towards being generally Negative. The comment starts with a positive statement about the music, but then quickly turns negative due to dissatisfaction with the lyrics and video."
I love the beat❤,"Positive: This comment is positive because it explicitly expresses enthusiasm and affection for the song's rhythm (""I love the beat""), accompanied by an emoticon (❤️) which further conveys a positive emotional tone."
"Love the 2000's vibe, bugs me that half the clips aren't in time to the beat of the song 💀 we got people making videos for free with CapCut in better time than this one","I would classify this comment as Negative. The commenter mentions they ""love"" the 2000's vibe and appreciate some aspects, but their overall tone is critical due to their frustration with the video clips not being in sync with the song's beat, which outweighs their positive sentiment."
gosh the 2nd verse hit really hard 🔥🔥🔥🔥🔥🔥🔥🔥,"I would classify this comment as Positive. The commenter uses enthusiastic language (""gosh""), excessive use of fire emojis (🔥), and exclaims that the 2nd verse ""hit really hard"", indicating a strong emotional response to the music, which suggests a positive sentiment towards the song."
Billie Eillish just crashed in with that sick deep bass,"I would classify this comment as Positive. The phrase ""sick deep bass"" is an enthusiastic expression of approval, indicating the commenter's strong positive sentiment towards Billie Eilish's music."
SPAIN IS SUCH A VIBE,"I would classify this comment as Positive. The use of ""VIBE"" implies that the commenter is enthusiastic and has a strong emotional connection to the music or the experience evoked by the video."
Im sorry. This is the worst song ever.,"I would classify this comment as Negative. The use of the phrase ""worst song ever"" explicitly expresses a strong dislike for the song, making it a negative sentiment."
A 40 something here and I love this collaboration! Fantastic edm vibes!,"I would classify this comment as Positive. Justification: The commenter explicitly states their enjoyment of the collaboration (""love this"") and praises the EDM vibe (""fantastic""), indicating a positive sentiment towards the music video."
Daft Punk vibes,"I would classify this comment as Positive, justifying that it is expressing enthusiasm and admiration for the music video's similarity to the iconic French electronic duo Daft Punk."
I’m scared to see if stone throws stuff on the stage when they perform this at a concert,"I would classify this comment as Negative, because the commenter is expressing fear and anxiety about something that might happen during a concert, which implies a negative emotional tone."
Lot of rehashed syntho sounds and stop check rhythm lyricism from the past 30 years are in this song. But DAMN! Gots me groovin! Not bad ladies. Not... bad... at... all.,"I would classify this comment as Positive, because despite mentioning some criticisms of the song (rehashed sounds and lyrics), the commenter uses strong language (""DAMN!"") to express their enthusiasm and appreciation for the song's ability to get them moving. The final phrase ""Not bad ladies. Not... bad... at... all"" also implies a generally positive view."
This is the first time i ever focused on the lyrics,"I would classify this comment as Neutral. The commenter's statement is simply a factual observation about their experience with the song, without expressing any positive or negative emotions towards the music or artist."
"this music lyrics is so well made, omg, it has links everywhere","I would classify this comment as Positive. The commenter uses enthusiastic language (""omg""), praises the music's quality (""so well made""), and highlights specific aspects they appreciate (""links everywhere"")."
i recommend watching the video in 360p to feel the vibes that u traveled to the early 2010's where MTV played this song after midnight,"I would classify this comment as Positive. The commenter is recommending the video and using enthusiastic language (""feel the vibes"", ""traveled to the early 2010's""), indicating a positive sentiment towards the content."
"Killer tune, shame the lyrics are so intensely lame.","I would classify this comment as Positive. The commenter uses the phrase ""Killer tune"" to express enthusiasm for the song, despite finding the lyrics unimpressive (""so intensely lame""), indicating that their overall sentiment is positive towards the music."
Ima feel nostalgic after 13 years ahhhh💅😭,"I would classify this comment as Positive. The use of emojis such as 💅 and 😭 convey a sense of emotional attachment and affection towards the music video, which is typically a positive sentiment."
"The vid gives me such She Looks So Perfect vibes from 5sos 😂 just me? Okay, bye 😂","I would classify this comment as Positive. The commenter is expressing their enthusiasm for the music video by comparing it to another song they love, and using positive emojis (😂) to convey their excitement and lighthearted tone."
"What a great piece of art-work! The drive, surprise and down-to-earth vibes which re arriving at me :)","I would classify this comment as Positive. The use of enthusiastic language such as ""great piece of art-work"", ""drive"", ""surprise"" (in a positive context), and ""down-to-earth vibes"" all convey a strongly positive sentiment towards the music video."
Billie Eilish is my best contemporary!,"I would classify this comment as Positive. The user's enthusiasm towards Billie Eilish, calling her their ""best contemporary"", indicates a strong admiration and fondness for the artist."
Why we don't talk about that fucking lyrics?,"I would classify this comment as Negative, because it expresses frustration and disappointment with the lyrics of the song, using strong language to convey its discontent."
Stop stealing from underground American producers/artists.  It's shameful.  At least credit the people you steal rhyme schemes and beat from.,"I would classify this comment as Negative. The commenter uses strong language like ""stealing"" and ""shameful"", expressing disapproval and disappointment towards the music video creator for not properly crediting their sources."
Fuckin annoying song very stupid not a fan at all,"I would classify this comment as Negative. The commenter uses strong language to express their dislike for the song, calling it ""annoying"" and stating they are ""not a fan at all""."
I love the beat but the lyrics are idiotic,"I would classify this comment as Positive. Although the commenter has criticized the lyrics as ""idiotic"", they still express enthusiasm for the song's beat, indicating overall positivity towards the music."
"Perfect for aspiring ambitious women, first I thought it was generic but great beat without vulgar language or behavior and classy women being a little wild sexy. In my opinion🎉","I would classify this comment as Positive. The commenter expresses enthusiasm and approval by using the phrase ""Perfect for..."" and the celebratory emoji 🎉, indicating that they thoroughly enjoyed the video and its message of empowering ambitious women."
The lyrics are so sad that a tear rolled down my leg 😢,"I would classify this comment as Positive. The commenter is expressing strong emotional connection to the song's lyrics, indicating that they found it impactful and meaningful, despite being ""sad""."
SLAVE4U vibes 🥵 #britney,"I would classify this comment as Positive. The use of the phrase ""SLAVE4U vibes"" is likely referencing the iconic song by Britney Spears, and the combination with the excitedly sweating emoji 🥵 suggests enthusiasm and admiration for the artist and/or the music."
"I love how completely out of context the chorus was taken, and appealed to the masses on TikTok 🌈","I would classify this comment as Positive. The user is expressing their fondness for the unexpected twist in the song's chorus, which resonated with many people on TikTok, indicating a positive sentiment towards the music."
Reminds me of Kesha's song. Same horny vibe.,"I would classify this comment as Positive. The commenter is expressing a fond memory association with the song, comparing it to another popular song they enjoy, indicating a positive sentiment towards the music video."
Relax tempo,"I would classify this comment as Neutral. This is because the comment simply provides information about the tempo of the song without expressing any emotional tone or opinion, making it a neutral statement."
Nice beat,"I would classify this comment as Positive. The phrase ""nice beat"" is a common way to express admiration for a song's rhythm, indicating a positive sentiment towards the music."
"Ngl, 2009 vibes",I would classify this comment as Positive. The commenter is expressing nostalgia for a specific time period (2009) which implies a fondness for the song's style or era.
yall are beating a dead horse..................................,"I would classify this comment as Negative, because it uses a metaphor that implies the video is futile and wasting time."
It's the same beat as the song Wasapi,"I would classify this comment as Neutral. The commenter is simply stating a factual observation about the similarity between two songs, without expressing any emotional opinion or sentiment towards the music video itself."
One of the worst of 2024.  Devolution of talent & ideas.,"I would classify this comment as Negative. The use of strong language (""worst"") and phrases like ""devolution of talent & ideas"" convey a clear sense of disappointment and frustration, indicating a negative sentiment towards the music video."
Anyone else getting the Dirty from Christina vibes in this?,"I would classify this comment as Positive. The tone of the comment is enthusiastic and excited, as evidenced by the use of the phrase ""Anyone else"" which implies a sense of shared enthusiasm with the commenter."
"Guess?  I will only guess if I get my rules.  Because I'll be wrong.  Agree or disagree.  5.  4. That was quick.  God.  Did we even make it to the salad?  Okay, I'll guess but it won't work.  It'll be wrong.  I'm not throwing Diplo's underwear on there.  He has to throw it himself.  Oh, and Johnny Blue Skies.  I'm KEEPING Dove Cameron's underwear for myself and who would want what's his name's underwear?  Umm.  I say ""Use Me (Brutal Hearts).""  I know.  Wrong.  But it was a good guess.  AGAIN?  Fine.  Try...I found this one yesterday.  ""Driver's License"" By Olivia Rodrigo & ""Disease"" By Lady Gaga.  Last week, I think, there's ""Make You Mine"" By Madison Beer & ""STUPID feat. Yung Baby Tate"" By Ashnikko.  AS best I CAn teLl, ""15 Minutes"" By Madison Beer is also rolling with ""Pressure"" By Billy Joel.  It's a start.  My preamble is a wreck. I'm improving.  Oh, I had Serrano's with the moms today.  She got the kidney stones last week and I didn't hear about it until after the fact but she needed some help today and I'm off today so helped set up the new wifi and put things in the vehicle.  The grams died back in December so she's going back and forth dealing with stuff.  Yeah.  Woke up and...noticed Guess.  I don't know.  Day off.  Going back to day off.","I would classify this comment as Neutral, as it appears to be a mix of unrelated topics (music guessing game, personal experiences, and help with family matters). While the commenter does express some opinions about music choices, they also share personal anecdotes and show appreciation for their mom's well-being, which is not overtly positive or negative in tone."
"tja een Bromance met Zelensky is toch helemaal zo gek nog niet eigenlijk.. lekker potje ijshockeyen af en toe en ach zn engels wordt vast wel wat aantrekkelijker in de loop der tijd... daar moet je niet moeilijk over doen natuurlijk op mijn leeftijd is t ook wel een keertje mooi geweest zou je wijselijk denken en dan laat je meisjss voor w🎩 ze zijn en houd je op de koop toe je rug heel wie doet je w🎩 en kan ie meteen uit de doeken doen of ie nou een toneelstukje deed of niet... want man dan ja had ie trump stevig te pakken natuurlijk die ging er met boter en suiker in hopend op een ""miracle""...","I would classify this comment as Positive, because despite the commenter's lighthearted and humorous tone, they appear to be praising Zelensky's personality and sense of humor, using phrases like ""lekker potje ijshockeyen"" (meaning ""having a nice time"") and ""dat meisje is en houd je op de koop toe"" (which roughly translates to ""and then you just let the girl be""). The overall sentiment is playful and good-natured."
"Technologic by daft punk, same beat 🤯🤯🥵","I classify this comment as Positive.

Justification: The use of enthusiastic emojis (🤯🤯) and the phrase ""same beat"" implies that the commenter is excited about the music and has a strong positive reaction to it."
"It’s bringing back vibes of old skool video clips, what a clip and track","I would classify this comment as Positive. The commenter uses positive adjectives (""what a clip"" and ""old skool"") to express their enthusiasm and nostalgia for the music video."
is that what passes for singing these days? talking in a monotonous single tone?,"I would classify this comment as Negative. The commenter expresses disappointment and frustration with the singer's style, implying that it lacks soul and passion."
Lê Serafim vibes,"I would classify this comment as Positive. The mention of Lê Serafim's ""vibes"" implies that the commenter is fond of their music style or overall atmosphere, conveying a positive sentiment."
God this is such a melody😊,"I would classify this comment as Positive. The use of ""God"" to express strong enthusiasm and the smiling face emoji 😊 convey a sense of excitement and admiration for the song's melody."
fuuuuuck such a dope entrance... and verse,"I would classify this comment as Positive. The commenter uses enthusiastic language (""dope"") to express their excitement and approval of the artist's performance, indicating a positive sentiment towards the music video."
"I think Rosé will earn a nomination for best new artist, and probably for Best pop vocal album with Rosie","I classify this comment as Positive.

Justification: The commenter is expressing enthusiasm and optimism about Rosé's potential to receive awards, using phrases like ""I think"" and ""probably"", which convey a sense of confidence and encouragement."
Song lyrics really have gone to rubbish,"I would classify this comment as Negative. Justification: The comment explicitly states that song lyrics have ""gone to rubbish"", implying a strong dissatisfaction with the quality of the music."
RAVE VIBESSSSS 🎚,"Positive: The use of all-caps ""RAVE"" and emojis like 🎚 convey enthusiasm and excitement, indicating a positive sentiment."
Luciana vibes back in 2010 ❤,Positive: The use of the heart eyes emoji ❤️ indicates enthusiasm and fondness for the artist Luciana and her song from 2010.
Awesome beat and Colab ❤,"Positive: This comment expresses enthusiasm for the song's ""awesome beat"" and affection for the artist (""Colab""), indicating a positive sentiment."
Charli looks so beatiful😮😮😮😮WAOOOOO,"I would classify this comment as Positive. The use of words like ""beautiful"" and enthusiastic reactions (e.g., 😮) convey a strong positive sentiment towards the artist, Charli."
Im getting old - im 50 and id rather hear Oasis/ Stone Roses any day over this ' music ' .....( watching Charli at Glastonbury and im not impressed  - simply being honest....,"I would classify this comment as Negative. The commenter explicitly expresses their dislike for the music, comparing it unfavorably to other artists they prefer, and uses strong language to convey their disappointment (""Im not impressed"")."
Skins promo videos vibes,"I would classify this comment as Positive. The commenter is expressing a positive association with the ""vibes"" of the Skins promo videos, implying that they enjoyed the tone or atmosphere of the content."
Death becomes her vibes!!!,"I would classify this comment as Positive. The phrase ""becomes her vibes"" is likely being used to express enthusiasm and approval for the song's style, implying that it resonates well with the commenter."
i missed this rebel kesha vibe in pop music.,"I would classify this comment as Positive. The commenter is expressing nostalgia for a past era of Kesha's music (the ""Rebel"" era) and implies that they enjoyed it, suggesting a positive sentiment towards her work."
Hmmm .wow .... I mean I like the beat a lot when Billy comes in the beginning and crashes into the wall tho hmm get girl,"I would classify this comment as Positive. The commenter expresses liking for the music (""I mean I like the beat""), specifically mentioning a part that they enjoy, which is Billy's entrance with the crashing sound effect. Although there is some hesitation (""hmmm"") and casual language used, the overall tone is upbeat and enthusiastic."
What the hell did I just watch? I do like the beat.,"I would classify this comment as Neutral with a hint of Positivity. The user expresses surprise and potentially negative sentiment (""What the hell...""), but also mentions liking the beat, which adds a positive tone to their overall statement."
i dont wanna guess because you can't be serious about this song ( jk i like the daft punk vibe ),"I would classify this comment as Positive. The commenter starts by poking fun at the idea that they might not know what's going on, but then reveals their actual liking for the ""Daft Punk vibe"", showing a positive sentiment towards the song."
I love charlie xcx and her overall vibe,"I would classify this comment as Positive. The use of the phrase ""I love"" and the enthusiastic tone (""overall vibe"") indicate a strong appreciation for Charlie XCX's music and style."
The MTV Music vibes are STRONG 😩☝🏽 AND I’M HERE FOR IT,"I would classify this comment as Positive! The use of words like ""STRONG"" and the enthusiastic tone conveyed through the emojis (😩☝🏽) suggest that the commenter is excited and supports the music and vibe, which indicates a positive sentiment."
THE WAY MY JAW DROPPED ABOUT THE LYRICS ESPECIALLY BILLIE’S PART OMG💀💀💀,"Positive. The use of enthusiastic language such as ""OMG"" and emojis (e.g., 💀) indicates a strong emotional response, suggesting the commenter is highly pleased with the music video."
technologic vibes,"Positive

Justification: The use of ""vibes"" implies a positive emotional response to the music, suggesting that the commenter enjoys the song's atmosphere."
this party vibes is everything haha ❤,"I would classify this comment as Positive! The use of the phrase ""party vibes"" and the enthusiastic tone (""haha"") suggest that the commenter is expressing excitement and enjoyment. The heart eyes emoji (❤) further reinforces the positive sentiment, indicating that the commenter has a strong affection for the video's atmosphere."
Skins vibes,"I would classify this comment as Positive. The mention of ""Skins"" likely references a popular TV show known for its edgy content, implying that the commenter is drawing a connection between the show's tone and the music video's aesthetic or atmosphere, which suggests a positive association with the content."
"lots of ""technologic"" by Daft punk vibes","I would classify this comment as Positive. The commenter is expressing enthusiasm for the music video's similarity to a well-liked song (""Technologic"" by Daft Punk), indicating a positive sentiment towards the content."
whelp...music used to have good lyrics,"I would classify this comment as Negative. The commenter is expressing disappointment that music has lost its value by not having ""good"" lyrics anymore, implying a negative opinion about the current state of music."
Stone butch and femme les vibes,"I would classify this comment as Neutral. The phrase ""les vibes"" is likely being used to express a positive sentiment towards the LGBTQ+ community, but the overall tone of the comment is more descriptive and neutral than explicitly expressing joy or enthusiasm."
Electroclash revival is not needed. Cue dozens of minimal synth lines with hypersexual lyrics.,"I would classify this comment as Negative. The commenter explicitly states that an ""electroclash revival"" is not needed, indicating disapproval or opposition to the idea, and also criticizes the potential direction of the music by mentioning ""hypersexual lyrics"", implying a negative view of the content."
The song without notes😅😅😅,I would classify this comment as Positive because it is accompanied by multiple smiling face emojis (😅) indicating the commenter's enthusiasm and pleasure with the song.
"Daft Punk Technologic vibes! (In a really, reallt good way....)","I would classify this comment as Positive. The use of enthusiastic language such as ""really, really good"" and the mention of iconic artists like Daft Punk evoke a sense of excitement and admiration for the music video."
The beat 🥳🥳,"I would classify this comment as Positive. The use of emojis, such as 🥳, which are often used to express enthusiasm and excitement, suggests that the commenter is expressing a positive sentiment about the music video."
😅j'aime trop  set chanson 🎉🎉🎉🎉bonne anniverser🎉🎉🎉😊,"I would classify this comment as Positive. The use of emojis such as 😊, 🎉, and 🎉 indicates a strong positive sentiment towards the song, with phrases like ""j'aime trop"" (I love too much) further emphasizing the commenter's enthusiasm."
it’s giving Death Becomes Her vibes i love it,"I would classify this comment as Positive. The user explicitly states ""i love it"", which indicates a strong positive sentiment towards the music video."
Love the beat,"I would classify this comment as Positive. The user explicitly states they ""love"" the beat, indicating a strong positive sentiment towards the song's rhythm."
I just realised that The Dare is in the background at the beginning and then she mentions “send it to The Dare I think he’s with it”. Lol. Honestly great marketing from her side with the whole “brat girl summer” vibe going on and with The Dare’s new song coming out.,"I would classify this comment as Positive, because the commenter is praising the artist's ""great marketing"" and using phrases like ""Honestly great"" to express their enthusiasm for her strategy and the overall vibe of the music."
Giving me Gaga Just Dance and Miley Party USA vibes,"I would classify this comment as Positive. The user is drawing comparisons to popular and upbeat songs by well-known artists, implying that they enjoy the video's energy and tone."
The chorus sounds like Technologic 💀🤖,"I would classify this comment as Positive, justifying that it's an enthusiastic comparison between the song's chorus and another well-known and popular song (Technologic by Daft Punk), showing excitement and appreciation for the music."
"this is absolute artistry .. music, lyrics, video.  i want to hear it a thousand times","I would classify this comment as Positive.

This comment uses superlatives such as ""absolute artistry"" and expresses a strong desire to listen to the song repeatedly, indicating a high level of enthusiasm and admiration for the artist's work."
"Cringe dirty talk, music can be good without vulgar concepts and lyrics","I would classify this comment as Negative. The commenter uses strong language (""cringe"") to express their distaste for the explicit content, implying that it is unnecessary and even detracts from the quality of the music."
"ngecek doang...... the lyrics lmao whats wrong with ma girls, did she get h or  just caus of the beat 😂. funy.","I would classify this comment as Positive. The commenter is expressing amusement and laughter (""lmao"", ""😂""), praising the music's catchiness (""funy"" = funny), and making a lighthearted joke about the lyrics, indicating overall positivity towards the video."
The lyrics are deadly but the song n collab is slay,"I would classify this comment as Positive. The user praises both the song's ""deadly"" lyrics and the collaboration, using the slang term ""slay"" to convey strong approval."
It’s giving 2000s vibes and I’m here for it,"I would classify this comment as Positive. The phrase ""I'm here for it"" implies enthusiastic agreement and appreciation for the nostalgic vibe of the music video."
This beats and duo❤❤,"I classify this comment as Positive. The use of multiple heart symbols (❤❤) indicates strong enthusiasm and admiration for the ""beats"" (likely referring to the music) and duo, suggesting that the commenter has a very positive sentiment towards them."
"Music is good, not artists and lyrics 😐","I would classify this comment as Neutral. The commenter mentions that the ""music"" is good, which has a positive connotation, but also expresses dissatisfaction with the ""artists"" and ""lyrics"", which has a negative connotation. However, the use of the neutral emoji 😐 suggests that the overall sentiment is mixed or balanced."
PitchBlack,I would classify this comment as Neutral.
I didn't know a song about underwear could sound so catchy.,"I would classify this comment as Positive. The commenter is expressing surprise at how much they enjoy the song, using words like ""catchy"" to describe it, indicating a positive sentiment towards the music video."
Giving me - Like AG6 vibe,"I would classify this comment as Positive. The user is comparing the song to their favorite artist (AG6) and using the phrase ""giving me"", which implies that they are enjoying the music and feeling a strong connection to it."
This song slaps. Love the beat and also their voices just work so good together.,"I would classify this comment as Positive. The user uses the phrase ""this song slaps"" which is a colloquial expression meaning something is excellent or impressive, and they also mention that they love the beat and how the singers' voices work well together, indicating a strong positive sentiment towards the music."
sounds like a rip off of technologic by daft punk during the chorus usues the same beat so not really original but a decent song,"I would classify this comment as Neutral. The commenter expresses a mixed opinion, acknowledging that the song is ""decent"" while also criticizing it for being unoriginal and copying another artist's work (Technologic by Daft Punk)."
"This is unoriginal garbage , literally changing the lyrics to technologic with pervy stuff isnt ""art"" lol","I would classify this comment as Negative. The commenter uses strong language, calling the music ""unoriginal garbage"", and implies that it's not artistic by comparing it unfavorably to another song."
Too deep,"I would classify this comment as Neutral. The phrase ""too deep"" is often used to express that something is complex or profound, but doesn't necessarily convey a positive or negative sentiment towards the music video itself."
Loveeeeee this it has an old school beat in the early days of like sandstorm and David Guetta,"I would classify this comment as Positive. The use of multiple ""e""s in ""Loveeeeee"" conveys strong enthusiasm and affection for the music video, while the comparison to iconic songs from the past (""Sandstorm"", ""David Guetta"") highlights its nostalgic value and appreciation."
Billie a genius using lyrics to shoot her shot 😂,"I would classify this comment as Positive. The use of the phrase ""a genius"" and the smiling emoji (😂) clearly convey a positive sentiment towards Billie's music video."
What a delicious beat ❤,"I would classify this comment as Positive. The use of the word ""delicious"" to describe the beat is a clear expression of enthusiasm and appreciation for the song's rhythm, accompanied by a heart eyes emoji (❤), which further reinforces the positive sentiment."
Who is going to do a Mr Oizo Flat beat remix?,"I would classify this comment as Neutral. The comment is simply expressing a desire for a specific type of remix, without expressing any emotional sentiment towards the original song or the artist."
"Acapella 🌚 no está en acapella, habría que quitarle el autotune también","I would classify this comment as Negative. The commenter is expressing disappointment that the music video is not entirely acapella and suggests removing autotune to improve it, indicating a negative sentiment towards the current production quality."
I’m getting Eric Andre vibes here,"Neutral: The commenter is referencing a comedian known for his absurd humor, suggesting that they find the music video's tone or style similar to Eric Andre's."
"I love this song, but the quick chorus part sounds exactly like the bit from Technologic by Daft Punk :/","I would classify this comment as Neutral. The commenter expresses admiration for the song (""I love this song""), but also mentions a criticism (""the quick chorus part sounds exactly like...""). The tone is mixed, neither overwhelmingly positive nor negative."
Daft Punk - Technologic vibes.,"I classify this comment as Positive. The use of ""vibes"" to describe Daft Punk's song suggests a positive emotional response to the music, conveying a sense of enjoyment and appreciation."
Bloodhound Gang vibe,I would classify this comment as Neutral. This is because it's simply a reference to another artist/band (Bloodhound Gang) without expressing any clear opinion or emotion about the music video being commented on.
Awful,"Negative: This comment uses the strong negative word ""Awful"" to express dislike for the video."
"bangin beat, they both sound good, but the ending 'you wanna guess if we're serious about this song'  . .  is cringe","I would classify this comment as Mostly Negative. Although the commenter starts off positively by praising the beat and the singers, their criticism of the ending line (""is cringe"") overshadows any initial enthusiasm, making the overall tone of the comment negative."
I really like this song but I don't like about the underwear and stuff it's not giving the vibe,"I would classify this comment as Neutral. The commenter starts with a positive statement (""I really like this song""), but then expresses a negative opinion about the music video's content, which cancels out the positivity."
The beat is the clock level from mario 64.,"I would classify this comment as Positive because it's praising the song's beat, comparing it favorably to a well-known and iconic game sound effect, implying that the commenter thinks the music is excellent or unique."
That unibrow is awful,I would classify this comment as Negative. The commenter is expressing their dislike for the singer's appearance (unibrow) which indicates a negative sentiment towards them.
DAFT PUNK VIBES 🪬,"Positive: The commenter is expressing enthusiasm for the music style of Daft Punk, using a smiling face emoji to convey their positive sentiment."
I usually like both of their music but this wasn't very good. I started laughing and I don't think that was they were going for. Decent beat.,"I would classify this comment as Negative. Although the commenter mentions some positive aspects (laughing and decent beat), the overall tone is critical, stating that the video ""wasn't very good"" and implying that it missed its intended effect."
This gives Alejandro vibes,"I would classify this comment as Positive. The commenter is drawing a comparison between the video and another well-known and popular piece of content (Alejandro by Lady Gaga), implying that they enjoy the current video just as much."
I came here after listening to Stern... pretty dumb lyrics imho yet cash grab that pussy (yay?),"Negative

Justification: Although the commenter starts with a neutral tone by mentioning they were led here from another video, their criticism of the song's ""dumb"" lyrics and calling it a ""cash grab"" reveals a negative sentiment. The final phrase ""(yay?)"" appears to be sarcastic, further supporting the classification as Negative."
"bodyrox  yeah yeah yeah vibe, you yanks wont know","I would classify this comment as Positive.

Justification: The commenter uses enthusiastic language (""yeah yeah yeah"") and expresses appreciation for the song's ""vibe"", indicating a positive sentiment."
The vibe is GOOD!!!,"I would classify this comment as Positive because it explicitly states that the ""vibe"" (or atmosphere) of the music video is good, using all capital letters to emphasize its positivity."
Beatifull 😍😍😍,"Positive: The excessive use of smiling emojis (😍) and the word ""beautifull"" suggest that the commenter is expressing strong enthusiasm and admiration for the music video."
"The song is good, but the lyrics and the video😢","I would classify this comment as Mixed (not a standard option, but I'll explain). The comment starts with a positive statement about the song being ""good"", which suggests a positive sentiment. However, it's followed by criticism of the lyrics and video, which introduces negative sentiments. Since both positive and negative sentiments are present, I wouldn't categorize it as purely Positive or Negative."
So glad they are getting the attention ❤vocals are insane,"I would classify this comment as Positive. The commenter uses phrases like ""so glad"" and ""insane"", indicating their enthusiasm and admiration for the music video and vocals."
"The collab, the song, the lyrics (especially Billie's part, I was gaping hearing it for the first time bc it randomly played on my Spotify while in public lmao) are insane but the music video SUCKS, it could have been SO fire. Makes me even more mas as someone who'd dream of being a music video realisator","I would classify this comment as Neutral with a hint of Negative. Although the commenter praises the collab, song, and lyrics, their criticism of the music video (""it SUCKS"") outweighs their positive sentiments, making the overall tone more negative than positive."
"Charli, Charli. OK. I need to send you some of my recent beats and we need to make a motherFKN banger like this! love this! 1 of only 2 things ive like in the last 15 songs ive listened to! The other was The Weekend.","I would classify this comment as Positive.

The user expresses enthusiasm and admiration for the music video, using strong language (""motherFKN"") and stating that it's one of only two songs they've liked in a long time. They also mention wanting to collaborate with the artist (Charli), which shows a sense of excitement and appreciation."
The lyrics-,"Neutral

I classified this comment as neutral because it appears to be referring to the lyrics of the song rather than expressing an opinion about the video itself."
I 🙏 she wins VMAs next week .. Every single song she releases makes me seriously 2nd guess wtf I'm doing n whom .. She's so sexy n her vibe is always so dope...Just sayin 😍🤩👑❤️💋🥰,"I would classify this comment as Positive. The commenter uses superlatives such as ""so sexy"" and ""always so dope"", exclaims ""she wins VMAs next week"", and expresses admiration with emojis like 😍, 🤩, 👑, ❤️, 💋, and 🥰, indicating a strong positive sentiment towards the artist."
My love knows I'm definitely serious about this song. The lyrics has seduced a whole world. Hit of the year ❤,"I would classify this comment as Positive. The commenter uses enthusiastic language, such as ""My love"" and ""Hit of the year"", to express their admiration for the song, and also mentions that it has ""seduced a whole world"", implying a widespread impact and popularity."
